Vds(Vtg=4),,Vds(Vtg=-1.25),,Vds(Vt=-1.75),,Vds(Vtg=-2.5),
X,Y,X,Y,X,Y,X,Y
-3.861674145133861,-69.55888510994669,-14.057352106864727,-123.768115942029,-12.319276107300254,-58.188468212061025,-13.731462856946393,-5.014867243380763
-1.9063386456238192,-40.6565145897805,-12.432138185194056,-112.56671875478742,-10.845015214812534,-44.67859272510441,-12.072088002770364,-7.115540789959141
-0.5795038423848666,-12.722166048758481,-11.000200571916501,-102.64065211149796,-9.614201351281672,-45.11509541464022,-10.468989157214452,-4.999265423936663
2.143999174789812,33.24504907518053,-9.556976750849579,-88.44299641738144,-7.725789537022727,-39.934339462482285,-9.029346536696082,-2.0278279934499324
4.09933467429984,62.368681762008464,-7.912011965547492,-72.73952875570671,-5.836962047700112,-25.12700552639899,-7.460780696429794,-6.013383687802161
6.194336995203443,94.03682936544419,-6.319810201660758,-60.79137175598248,-3.8362801776077475,-22.817252402692134,-5.762694769657486,-12.167217998809974
8.149672494713485,126.67299894802431,-4.823823359178476,-51.11861517254147,-1.9063386456238192,-22.93578570626073,-4.172044859341796,-10.355890099738986
10.105007994223513,159.72403509309493,-3.3805995381115395,-41.70421728965687,0.11883026458299639,-6.890986031531838,-2.7044347678728116,-6.746111993836848
12.200010315127116,193.1899378006559,-1.7666718242302437,-29.68691586285115,1.5154984785187366,5.785492266786719,-1.3277189569932943,-5.442245654581143
14.155345814637144,225.82610738323592,-0.13722557463854912,-13.736284312623866,3.121666924544826,18.76620604426489,0.27246376811591233,-5.217690896153954
16.110681314147172,259.56858779912386,1.0964980143380103,-2.8345129760699592,4.658001959874142,18.319072082469688,1.9519572953736457,-4.241602067183521
17.891433286915245,282.3862487360973,2.143999174789812,25.344145873974185,6.194336995203443,27.934757075303196,3.5242359979733635,-0.8879456362552673
18.205683635050775,291.51331311088654,3.331167156635189,21.884619705651176,8.01000567331991,36.92353259592903,4.915282946651772,2.1213228555043315
20.171762736206475,322.4049156101736,4.17453988581947,44.80954315130259,9.724098481331936,40.3807539500159,6.4108205683634765,5.198571321574377
22.25602145546442,360.1045847759701,5.744299459601933,43.899437017064315,11.067157208268128,52.51944225992099,8.047250159024856,1.7797251245178813
